"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"212","RT @posadastech: #HackathonPosadas de madrugada seguimos! Compañía? Que no falte!! https://t.co/5gxl5BccQw",FALSE,0,NA,2017-05-27 12:33:02,FALSE,NA,"868444937616076803",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMArzamendiA",4,TRUE,FALSE,NA,NA
"213","RT @posadastech: #HackathonPosadas de madrugada seguimos con la mejor compañía! https://t.co/Wgjo8lk5u5",FALSE,0,NA,2017-05-27 12:32:59,FALSE,NA,"868444923187666948",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMArzamendiA",8,TRUE,FALSE,NA,NA
"214","RT @posadastech: Ya paso la primera noche de #HackathonPosadas !! Buscando soluciones innovadoras https://t.co/VP6j8nk0Aw",FALSE,0,NA,2017-05-27 12:32:52,FALSE,NA,"868444893273874432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMArzamendiA",9,TRUE,FALSE,NA,NA
"215","RT @posadastech: Mañana lluviosa de sábado. Hoy #HackathonPosadas continúa!! https://t.co/FkCJVf3hoO",FALSE,0,NA,2017-05-27 12:32:45,FALSE,NA,"868444867046846464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMArzamendiA",9,TRUE,FALSE,NA,NA
"216","RT @posadastech: Estas imágenes son un resumen de las primeras horas del evento #HackathonPosadas, compartilas o dale #RT! https://t.co/B9R…",FALSE,0,NA,2017-05-27 12:32:39,FALSE,NA,"868444841067282432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMArzamendiA",9,TRUE,FALSE,NA,NA
"217","RT @posadastech: Buen día #Posadas !! #HackathonPosadas https://t.co/YFmrRHhgSM",FALSE,0,NA,2017-05-27 12:32:25,FALSE,NA,"868444782380679172",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMArzamendiA",8,TRUE,FALSE,NA,NA
"218","Buen dia mortales, hoy juega @BocaJrsOficial y hackathoneamos a lo perro #hackathonposadas #BuenSabado",FALSE,0,NA,2017-05-27 12:27:36,FALSE,NA,"868443569245351936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","matudelatower",0,FALSE,FALSE,NA,NA
"219","Si necesita hackathon dale #hackathonposadas (@ Ucami, Universidad Católica De Las Misiones) https://t.co/mVX9cCXRzW",FALSE,0,NA,2017-05-27 12:22:27,FALSE,NA,"868442273377374209",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","matudelatower",0,FALSE,FALSE,"-55.93874844","-27.35569339"
"220","RT @posadastech: Ya todo listo para la Primer #HackathonPosadas las autoridades abren la maratón @losadajoaquin  @pepivillalba  @CMArzamend…",FALSE,0,NA,2017-05-27 12:13:05,FALSE,NA,"868439917810069504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pepivillalba",24,TRUE,FALSE,NA,NA
"221","RT @posadastech: Ya todo listo para la Primer #HackathonPosadas las autoridades abren la maratón @losadajoaquin  @pepivillalba  @CMArzamend…",FALSE,0,NA,2017-05-27 11:55:58,FALSE,NA,"868435610041823233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TelmoOrlando",24,TRUE,FALSE,NA,NA
"222","Buen día #Posadas !! #HackathonPosadas https://t.co/YFmrRHhgSM",FALSE,8,NA,2017-05-27 11:28:56,FALSE,NA,"868428804036997120",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","posadastech",8,FALSE,FALSE,NA,NA
"223","RT @posadastech: Estas imágenes son un resumen de las primeras horas del evento #HackathonPosadas, compartilas o dale #RT! https://t.co/B9R…",FALSE,0,NA,2017-05-27 11:27:38,FALSE,NA,"868428478852497408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","avellanedaandy",9,TRUE,FALSE,NA,NA
"224","Estas imágenes son un resumen de las primeras horas del evento #HackathonPosadas, compartilas o dale #RT! https://t.co/B9RjmxsqKK",FALSE,5,NA,2017-05-27 11:09:43,FALSE,NA,"868423967396311040",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","posadastech",9,FALSE,FALSE,NA,NA
"225","Mañana lluviosa de sábado. Hoy #HackathonPosadas continúa!! https://t.co/FkCJVf3hoO",FALSE,11,NA,2017-05-27 10:57:26,FALSE,NA,"868420879239303168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","posadastech",9,FALSE,FALSE,NA,NA
